county,obe_21,fei_20,pi_20,aeo_20,uni_20,ieq_20,reg
Rio Grande,0,8.3999996,21.200001,78.400002,13.6,6,1
Routt,0,8.1000004,10.2,86.400002,8.5,4.0999999,1
Saguache,0,7.8000002,23.9,48.400002,16.9,5.3000002,1
San Juan,0,5.4000001,21.299999,99.699997,8.6000004,4.5,1
San Miguel,0,8.3000002,15.2,82.099998,11.8,4.5999999,1
Sedgwick,0,7.9000001,26.4,62.5,12.1,4.5999999,1
Summit,0,8.3000002,10.8,100,11.1,3.8,1
Teller,0,8.6999998,15.3,81.699997,8.1999998,4.0999999,1
Washington,0,7.3000002,29.9,43.700001,9.6000004,3.8,1
Weld,0,8.8000002,18.6,78.300003,9.3999996,3.9000001,1
Yuma,0,8.1000004,21.299999,72.5,13.4,4.0999999,5
Fairfield,0,8.6999998,17.700001,96.800003,8.8999996,5.9000001,5
Hartford,0,8.1999998,21.6,96.800003,5.4000001,5.0999999,5
Litchfield,0,8.6999998,20.799999,82.900002,5.0999999,4.1999998,5
Middlesex,0,8.5,19.4,96.800003,4.0999999,4.5,5
New Haven,0,8,21.700001,95.400002,5.6999998,5.0999999,5
New London,0,8,20.9,92.099998,5,4.5,5
Tolland,0,8.1999998,19.1,76.599998,3.7,4.3000002,5
Windham,0,8.1999998,23,81.900002,5.5999999,4.4000001,5
Kent,1,7.9000001,31.200001,66.800003,6.4000001,4.0999999,5
New Castle,0,8.1000004,25.5,96.900002,5.5999999,4.5999999,5
Sussex,1,8.5,30.299999,74,7.1999998,4,5
District of Columbia,0,8.6000004,18.4,100,4.3000002,7.1999998,4
Alachua,0,6.5999999,23.5,87.400002,11.9,6.0999999,4
Baker,1,6.6999998,33.400002,41.099998,12,4.5,4
Bay,0,6.8000002,30.6,68.099998,14.8,4.4000001,4
Bradford,1,7.4000001,33.200001,65.300003,13.3,5.4000001,4
Brevard,0,7.0999999,26.799999,88.400002,13,4.4000001,4
Broward,0,7.9000001,25,96.900002,16.9,4.8000002,4
Calhoun,1,7.1999998,40.900002,20,15.2,4.8000002,4
Charlotte,0,7,26.200001,80.5,17.1,4.0999999,4
Citrus,0,6.8000002,34.799999,73.300003,15.4,4.1999998,4
Clay,1,7.8000002,28.4,88.300003,11.4,3.9000001,4
Collier,0,8,23.200001,91.400002,22.799999,4.5999999,4
Columbia,1,7.0999999,36.900002,67.5,12.4,4.5,4
DeSoto,0,7.3000002,36.299999,55.799999,23.1,4,4
Dixie,1,7.3000002,44.900002,34.799999,15.8,4.4000001,4
Duval,0,6.5999999,26.4,92.099998,13.2,4.5,4
Escambia,0,6.5,29.5,73.199997,11.4,3.9000001,4
Flagler,0,7.0999999,26.299999,75.400002,14.7,3.8,4
Franklin,1,7.5999999,31.799999,88.400002,17.700001,5.3000002,4
Gadsden,1,6,35.400002,59.799999,16.299999,4.3000002,4
Gilchrist,1,7.9000001,35.900002,22.4,15.5,4.0999999,4
Glades,1,5.3000002,34.400002,9.6999998,25.9,3.9000001,4
Gulf,0,7.1999998,34.900002,54,13.5,4,4
Hamilton,1,6,38.599998,45.299999,15.1,5.4000001,4
Hardee,1,6.4000001,35.299999,59.5,20,4.5999999,4
Hendry,1,6.9000001,35.099998,62.5,26.9,4.5999999,4
Hernando,0,7,31.5,82.300003,15.8,4,4
Highlands,0,6.6999998,33.299999,81,18.5,3.8,4
Hillsborough,0,7.5,23.1,93.699997,14.3,4.8000002,4
Holmes,1,6.5999999,37.599998,20.700001,15.7,5.3000002,4
Indian River,0,7,25.6,84,16.9,4.5,4
Jackson,1,7,37.200001,29.200001,15.2,4.8000002,4
Jefferson,1,6.9000001,26.6,52.200001,13.6,4.6999998,4
Lafayette,1,7.8000002,33.599998,13.6,19.799999,6.8000002,4
Lake,0,7.4000001,29,85.699997,15.5,4.0999999,4
Lee,0,7.5,24.799999,88.5,18.6,4.3000002,4
Leon,0,6.3000002,21.799999,83.199997,10.8,5.1999998,4
Levy,1,7.4000001,36.900002,46.599998,18,4.1999998,4
Liberty,1,6.8000002,36,19.5,14.7,4.4000001,4
Madison,1,5.6999998,33.099998,49.799999,14.2,5.5999999,4
Manatee,0,7.8000002,24.4,91.099998,16.1,4.4000001,4
Marion,0,7,33,75.599998,15.4,4,4
Martin,0,7.9000001,22.5,96.599998,17,5,4
Miami-Dade,0,8.8000002,24.5,97.800003,20,5.5,4
Monroe,0,7.8000002,23,100,20.299999,4.5,4
Nassau,0,7.6999998,24.6,71.800003,12.5,4.1999998,4
Okaloosa,0,7.3000002,28.1,75.300003,13.5,4.0999999,4
Okeechobee,1,5.5999999,37.5,77.099998,22.5,4.0999999,4
Orange,0,7.5,24.6,93.699997,15.7,4.5999999,4
Osceola,0,8,30.9,77.900002,16.200001,4.0999999,4
Palm Beach,0,7.9000001,23.4,93.800003,17.4,5,4
Pasco,0,7.5999999,29.9,86.300003,14.9,4.4000001,4
Pinellas,0,7.6999998,24.4,97.199997,14.3,4.8000002,4
Polk,1,6.9000001,28.799999,78.900002,15.8,4.1999998,4
Putnam,1,6,36.799999,51,17.200001,4.8000002,4
St. Johns,0,8.1000004,21.1,93.699997,10.6,4.5,4
St. Lucie,0,6.8000002,29.799999,77.699997,16.9,4.1999998,4
Santa Rosa,0,7.3000002,29.700001,77.099998,12.5,3.7,4
Sarasota,0,7.9000001,22,92.199997,16.299999,4.4000001,4
Seminole,0,7.8000002,20.299999,90.800003,10.1,4.5,4
Sumter,0,8.1000004,21.9,82.099998,11.9,3.7,4
Suwannee,1,6.9000001,37,49.200001,17.200001,4.6999998,4
Taylor,1,6.5999999,34.599998,68.099998,14.9,3.9000001,4
Union,1,6.5,32.200001,21.6,12.7,4.5999999,4
Volusia,0,6.8000002,28.9,88.800003,14.6,4.3000002,4
Wakulla,1,8.1999998,29.9,83.900002,12.4,3.5,4
Walton,0,7.5999999,31.700001,66.099998,17.6,4.9000001,4
Washington,1,5.5999999,35.599998,33.400002,16.6,4.5,4
Appling,1,7.3000002,37.900002,20,19.1,4.8000002,4
Atkinson,0,7.1999998,33.700001,0,22.4,4.4000001,4
Bacon,1,7.5999999,34.400002,60.700001,19.4,5.1999998,4
Baker,1,4.8000002,26.6,5.8000002,19.200001,5.8000002,4
Baldwin,1,6,26.200001,63.799999,15.9,6.0999999,4
Banks,0,8.6999998,35.700001,36.700001,19.299999,4.3000002,4
Barrow,1,8.3999996,28.799999,65.300003,16.9,3.7,4
Bartow,0,7.3000002,32.099998,66.599998,17.9,4.0999999,4
Ben Hill,1,5.5999999,38.5,39.299999,16.299999,4.8000002,4
Berrien,1,7.0999999,29.799999,42,18.9,5.4000001,4
Bibb,1,5.6999998,31.200001,75.099998,14.4,6.4000001,4
Bleckley,1,7.1999998,32.200001,79.5,13.8,5.5999999,4
Brantley,1,8,31.1,30.299999,18.200001,5.3000002,4
Brooks,0,7.3000002,30,21.1,19.4,5.6999998,4
Bryan,1,8,29.700001,85,12.2,4.9000001,4
Bulloch,1,6.8000002,28.1,31.5,16.799999,5.5999999,4
Burke,1,6.3000002,26.6,47.099998,15.2,5.6999998,4
Butts,1,7.4000001,26.9,64,15,4.5,4
Calhoun,1,6,32.200001,.30000001,18,4.9000001,4
Camden,1,7.0999999,34,60.700001,13.5,3.9000001,4
Candler,1,7.1999998,32.599998,59.299999,20.799999,5.4000001,4
Carroll,1,7.0999999,35.900002,49.400002,16,4.4000001,4
Catoosa,0,7.9000001,31.5,74.599998,12.7,4.1999998,4
Charlton,1,7.0999999,32.599998,73.099998,15.7,5.5,4
Chatham,0,6.9000001,26,89.599998,16.200001,4.6999998,4
Chattahoochee,1,4.4000001,22.200001,83.699997,12.1,4,4
Chattooga,1,7.6999998,30.200001,41.400002,16.6,4.6999998,4
Cherokee,0,8.6999998,25.200001,91.300003,12.8,3.8,4
Clarke,0,5,25.5,82.300003,16.299999,6.4000001,4
Clay,1,.5,41.200001,29.299999,15.4,6,4
Clayton,1,5.1999998,34,78.900002,18.799999,3.9000001,4
Clinch,1,6.4000001,27.299999,5.0999999,16.6,12,4
Cobb,0,7.6999998,22.4,93.800003,13.8,4.4000001,4
Coffee,1,7.0999999,33.200001,55.799999,19.4,5,4
Colquitt,1,7.0999999,34.5,64.099998,23.6,4.8000002,4
Columbia,1,8.6999998,26,75.699997,11.3,3.5999999,4
Cook,0,7.0999999,39.799999,64.800003,18.4,5.3000002,4
