county,obe_21,fei_20,pi_20,aeo_20,uni_20,ieq_20,reg
Broomfield,19.5,8.6000004,13,99.5,4.8000002,3.8,1
Chaffee,16.299999,8.6000004,17.1,97.099998,10.2,4.4000001,1
Cheyenne,23.799999,8,30.9,48.5,14.9,4.0999999,1
Clear Creek,21.200001,8.6999998,16.700001,81.800003,5.5,3.5999999,1
Conejos,27.200001,9,25.5,22.1,10.7,5,1
Costilla,24.700001,4.6999998,25.1,41.5,14.9,4.8000002,1
Crowley,29.4,8,20.5,33.099998,11.1,4.5,1
Custer,20.9,7.6999998,21.200001,95,12.6,3.9000001,1
Delta,24,8,20.4,73.300003,10.7,4.5999999,1
Denver,17.299999,8.1000004,12.8,99.5,10.7,5.0999999,1
Dolores,21.700001,4.0999999,17.299999,27.799999,11.7,4,1
Douglas,20.1,9.1999998,10.6,93.400002,3.8,3.3,1
Eagle,16.1,9.1000004,12,97.800003,12.2,3.5,1
Elbert,24.9,8.6999998,18.700001,56.299999,7.8000002,3.9000001,1
El Paso,22.9,7.6999998,16.4,88.400002,7.5999999,4.1999998,1
Fremont,30.200001,7.1999998,20.799999,64.900002,9.1000004,4.5,1
Garfield,24.5,8.6999998,14.1,93.900002,13.8,3.5999999,1
Gilpin,21.6,9.1000004,19.299999,81.699997,4.3000002,3.3,1
Grand,18,8.5,14.2,74.699997,10.6,3.7,1
Gunnison,14.2,8,14.5,90.900002,10.5,4.3000002,1
Hinsdale,23.799999,8.1999998,24.5,41.599998,10.5,4.3000002,1
Huerfano,26.299999,7.5999999,21.4,75.400002,7.9000001,4.8000002,1
Jackson,24,8.3000002,23.200001,87.199997,13.6,4,1
Jefferson,21.200001,8.6000004,13.9,99.199997,6.8000002,4,1
Kiowa,28.299999,4.6999998,30.9,58.5,11.3,3.5999999,1
Kit Carson,32,8.3999996,20.700001,27.9,14.9,3.5,1
Lake,27.200001,8.3000002,18.1,86.699997,11.7,4.9000001,1
La Plata,18.200001,8.3999996,13.6,75.400002,11.6,4.0999999,1
Larimer,20.9,8.1000004,13.1,92.800003,7.4000001,4.4000001,1
Las Animas,31.5,7.5999999,30.1,80.400002,12.2,4.6999998,1
Lincoln,30.1,7.8000002,21.799999,59.799999,9.5,4.0999999,1
Logan,36,7.6999998,23.4,84,10.5,4.5,1
Mesa,25.799999,7.4000001,15.6,77.400002,9.5,4.5999999,1
Mineral,17.5,8.5,17.6,100,9.8999996,3,1
Moffat,20.4,8,21.6,76.099998,9.8999996,4.5,1
Montezuma,28.200001,7.5999999,21.6,79.599998,13.8,4.4000001,1
Montrose,20.1,7.5999999,17.6,86.5,12.2,4.3000002,1
Morgan,34.900002,8.8999996,21.5,72.300003,12.4,3.8,1
Otero,34.700001,7.3000002,22.5,70.699997,10.8,6.0999999,1
Ouray,20.6,8.3999996,17,70.5,8.6999998,4.5,1
Park,18.5,7.6999998,17.9,72.099998,8.6999998,3.8,1
Phillips,31.299999,8.8999996,25.299999,82.800003,13.2,3.9000001,1
Pitkin,14.7,8.5,13.6,92.699997,12.3,3.7,1
Prowers,35.900002,7.6999998,21.4,55.299999,14.1,4.1999998,1
Pueblo,31,7.3000002,22.1,64.5,8.3999996,4.9000001,1
Rio Blanco,23.200001,8.1999998,18.9,94.800003,9.1999998,4.4000001,1
Rio Grande,28.799999,8.3999996,21.200001,78.400002,13.6,6,1
Routt,16.1,8.1000004,10.2,86.400002,8.5,4.0999999,1
Saguache,27,7.8000002,23.9,48.400002,16.9,5.3000002,1
San Juan,20.299999,5.4000001,21.299999,99.699997,8.6000004,4.5,1
San Miguel,16.200001,8.3000002,15.2,82.099998,11.8,4.5999999,1
Sedgwick,25.299999,7.9000001,26.4,62.5,12.1,4.5999999,1
Summit,15.4,8.3000002,10.8,100,11.1,3.8,1
Teller,22.799999,8.6999998,15.3,81.699997,8.1999998,4.0999999,1
Washington,29.5,7.3000002,29.9,43.700001,9.6000004,3.8,1
Weld,29.200001,8.8000002,18.6,78.300003,9.3999996,3.9000001,1
Yuma,30.5,8.1000004,21.299999,72.5,13.4,4.0999999,5
Fairfield,21.200001,8.6999998,17.700001,96.800003,8.8999996,5.9000001,5
Hartford,27.200001,8.1999998,21.6,96.800003,5.4000001,5.0999999,5
Litchfield,26.700001,8.6999998,20.799999,82.900002,5.0999999,4.1999998,5
Middlesex,26.9,8.5,19.4,96.800003,4.0999999,4.5,5
New Haven,28.799999,8,21.700001,95.400002,5.6999998,5.0999999,5
New London,30.4,8,20.9,92.099998,5,4.5,5
Tolland,26.299999,8.1999998,19.1,76.599998,3.7,4.3000002,5
Windham,31,8.1999998,23,81.900002,5.5999999,4.4000001,5
Kent,38.400002,7.9000001,31.200001,66.800003,6.4000001,4.0999999,5
New Castle,30.200001,8.1000004,25.5,96.900002,5.5999999,4.5999999,5
Sussex,33.299999,8.5,30.299999,74,7.1999998,4,5
District of Columbia,24,8.6000004,18.4,100,4.3000002,7.1999998,4
Alachua,27.200001,6.5999999,23.5,87.400002,11.9,6.0999999,4
Baker,38.299999,6.6999998,33.400002,41.099998,12,4.5,4
Bay,30,6.8000002,30.6,68.099998,14.8,4.4000001,4
Bradford,37.099998,7.4000001,33.200001,65.300003,13.3,5.4000001,4
Brevard,28.799999,7.0999999,26.799999,88.400002,13,4.4000001,4
Broward,24.6,7.9000001,25,96.900002,16.9,4.8000002,4
Calhoun,36.900002,7.1999998,40.900002,20,15.2,4.8000002,4
Charlotte,27.6,7,26.200001,80.5,17.1,4.0999999,4
Citrus,28.700001,6.8000002,34.799999,73.300003,15.4,4.1999998,4
Clay,33.200001,7.8000002,28.4,88.300003,11.4,3.9000001,4
Collier,21.9,8,23.200001,91.400002,22.799999,4.5999999,4
Columbia,36.799999,7.0999999,36.900002,67.5,12.4,4.5,4
DeSoto,31.299999,7.3000002,36.299999,55.799999,23.1,4,4
Dixie,33.099998,7.3000002,44.900002,34.799999,15.8,4.4000001,4
Duval,32,6.5999999,26.4,92.099998,13.2,4.5,4
Escambia,29.4,6.5,29.5,73.199997,11.4,3.9000001,4
Flagler,26.6,7.0999999,26.299999,75.400002,14.7,3.8,4
Franklin,34.400002,7.5999999,31.799999,88.400002,17.700001,5.3000002,4
Gadsden,43.5,6,35.400002,59.799999,16.299999,4.3000002,4
Gilchrist,37.700001,7.9000001,35.900002,22.4,15.5,4.0999999,4
Glades,39,5.3000002,34.400002,9.6999998,25.9,3.9000001,4
Gulf,32.599998,7.1999998,34.900002,54,13.5,4,4
Hamilton,39.799999,6,38.599998,45.299999,15.1,5.4000001,4
Hardee,39.700001,6.4000001,35.299999,59.5,20,4.5999999,4
Hendry,35,6.9000001,35.099998,62.5,26.9,4.5999999,4
Hernando,32.299999,7,31.5,82.300003,15.8,4,4
Highlands,30.4,6.6999998,33.299999,81,18.5,3.8,4
Hillsborough,26.4,7.5,23.1,93.699997,14.3,4.8000002,4
Holmes,35.799999,6.5999999,37.599998,20.700001,15.7,5.3000002,4
Indian River,26.6,7,25.6,84,16.9,4.5,4
Jackson,37.099998,7,37.200001,29.200001,15.2,4.8000002,4
Jefferson,35.099998,6.9000001,26.6,52.200001,13.6,4.6999998,4
Lafayette,33.900002,7.8000002,33.599998,13.6,19.799999,6.8000002,4
Lake,31.4,7.4000001,29,85.699997,15.5,4.0999999,4
Lee,25,7.5,24.799999,88.5,18.6,4.3000002,4
Leon,31.1,6.3000002,21.799999,83.199997,10.8,5.1999998,4
Levy,33.299999,7.4000001,36.900002,46.599998,18,4.1999998,4
Liberty,39.900002,6.8000002,36,19.5,14.7,4.4000001,4
Madison,35.900002,5.6999998,33.099998,49.799999,14.2,5.5999999,4
Manatee,26.299999,7.8000002,24.4,91.099998,16.1,4.4000001,4
Marion,32.799999,7,33,75.599998,15.4,4,4
Martin,19.9,7.9000001,22.5,96.599998,17,5,4
Miami-Dade,22.4,8.8000002,24.5,97.800003,20,5.5,4
Monroe,20.9,7.8000002,23,100,20.299999,4.5,4
Nassau,29.6,7.6999998,24.6,71.800003,12.5,4.1999998,4
Okaloosa,27.299999,7.3000002,28.1,75.300003,13.5,4.0999999,4
Okeechobee,33.799999,5.5999999,37.5,77.099998,22.5,4.0999999,4
Orange,27.1,7.5,24.6,93.699997,15.7,4.5999999,4
Osceola,31.6,8,30.9,77.900002,16.200001,4.0999999,4
Palm Beach,22.200001,7.9000001,23.4,93.800003,17.4,5,4
Pasco,31.200001,7.5999999,29.9,86.300003,14.9,4.4000001,4
Pinellas,27.299999,7.6999998,24.4,97.199997,14.3,4.8000002,4
Polk,36.5,6.9000001,28.799999,78.900002,15.8,4.1999998,4
Putnam,38.599998,6,36.799999,51,17.200001,4.8000002,4
St. Johns,23.1,8.1000004,21.1,93.699997,10.6,4.5,4
St. Lucie,31.200001,6.8000002,29.799999,77.699997,16.9,4.1999998,4
Santa Rosa,31.1,7.3000002,29.700001,77.099998,12.5,3.7,4
Sarasota,21.4,7.9000001,22,92.199997,16.299999,4.4000001,4
Seminole,26.299999,7.8000002,20.299999,90.800003,10.1,4.5,4
Sumter,29.299999,8.1000004,21.9,82.099998,11.9,3.7,4
Suwannee,38.799999,6.9000001,37,49.200001,17.200001,4.6999998,4
Taylor,35.5,6.5999999,34.599998,68.099998,14.9,3.9000001,4
Union,37.400002,6.5,32.200001,21.6,12.7,4.5999999,4
Volusia,32.099998,6.8000002,28.9,88.800003,14.6,4.3000002,4
Wakulla,39.700001,8.1999998,29.9,83.900002,12.4,3.5,4
Walton,31.799999,7.5999999,31.700001,66.099998,17.6,4.9000001,4
Washington,37.700001,5.5999999,35.599998,33.400002,16.6,4.5,4
Appling,34.299999,7.3000002,37.900002,20,19.1,4.8000002,4
Atkinson,30.6,7.1999998,33.700001,0,22.4,4.4000001,4
Bacon,43.5,7.5999999,34.400002,60.700001,19.4,5.1999998,4
Baker,36.099998,4.8000002,26.6,5.8000002,19.200001,5.8000002,4
Baldwin,40.700001,6,26.200001,63.799999,15.9,6.0999999,4
Banks,32.5,8.6999998,35.700001,36.700001,19.299999,4.3000002,4
Barrow,38.799999,8.3999996,28.799999,65.300003,16.9,3.7,4
Bartow,29.4,7.3000002,32.099998,66.599998,17.9,4.0999999,4
Ben Hill,42.099998,5.5999999,38.5,39.299999,16.299999,4.8000002,4
